Time, EyeTrackingEnabled, EyeCalibrationValid, EyeTrackingEnabledAndValid, EyeTrackingDataValid, EyeGazeOrigin.x, EyeGazeOrigin.y, EyeGazeOrigin.z, EyeGazeDirection.x, EyeGazeDirection.y, EyeGazeDirection.z, EyeHitInfo.point.x, EyeHitInfo.point.y, EyeHitInfo.point.z, EyeHitPosition.x, EyeHitPosition.y, EyeHitPosition.z, EyeHitNormal.x, EyeHitNormal.y, EyeHitNormal.z, HeadGazeOrigin.x, HeadGazeOrigin.y, HeadGazeOrigin.z, HeadGazeDirection.x, HeadGazeDirection.y, HeadGazeDirection.z, transform.position.x, transform.position.y, transform.position.z
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
105805, True, True, True, True, -0.03429492, -0.007708492, 0.1, -0.3235433, -0.07272304, 0.9434146, -0.2113015, -0.04749438, 0.6161306, -0.2113015, -0.04749437, 0.6161305, 0.3104994, 0.009102579, -0.95053, 0, 0, 0, 0, 0, 0, 0, 0, 0
